"","ind_70_final","ind_80","occ_70_final","occ_80"
"78289",669,641,912,436
"91935",769,761,984,407
"104044",838,831,370,313
"79164",677,642,915,435
"88418",729,730,12,55
"60906",588,571,770,889
"6902",67,60,245,558
"51647",427,421,390,318
"54722",468,462,441,633
"114648",927,901,325,335
"62449",609,591,666,766
"85129",717,711,245,19
"97437",798,791,194,194
"69432",639,612,284,269
"119329",738,732,1,25
"52502",448,441,385,348
"105746",848,840,426,678
"104303",838,831,80,203
"63543",609,591,762,877
"63793",609,591,623,885
"64580",617,592,283,274
"113952",858,850,285,277
"42782",339,172,422,736
"70806",648,621,473,505
"17640",147,271,233,13
"77296",669,641,912,436
"44503",619,671,264,277
"15626",119,250,690,759
"24401",207,341,153,213
"58256",537,521,785,889
"106622",857,842,912,436
"39611",319,151,610,796
"61163",607,512,205,29
"24540",207,341,152,217
"117436",877,880,90,177
"78982",677,642,310,276
"114480",858,850,391,315
"78717",677,642,705,805
"117644",878,922,100,174
"40433",328,160,545,696
"19226",197,331,644,759
"70407",647,620,210,7
"36066",299,130,610,796
"3018",17,11,822,479
"52571",448,441,552,529
"8243",68,60,751,869
"69937",639,612,245,243
"91994",769,761,785,889
"14247",108,231,695,779
"62978",609,591,283,266
"38762",319,151,611,747
"37928",319,151,611,747
"77383",669,641,913,444
"8157",68,60,225,33
"66051",628,601,310,276
"115782",858,850,126,143
"118326",467,460,152,217
"125413",937,910,964,418
"74853",669,641,913,444
"39115",319,151,441,633
"78695",677,642,922,446
"15529",119,250,643,888
"55692",478,471,441,633
"4995",48,41,473,507
"63840",617,592,283,264
"81085",697,682,305,337
